-180,65, ELEV ,1294,41, ASIA 
-180,65.5, ELEV ,1270,51, ASIA 
-180,66, ELEV ,1245,301, ASIA 
-180,66.5, ELEV ,1220,329, ASIA 
-180,67, ELEV ,1195,498, ASIA 
-180,67.5, ELEV ,1171,379, ASIA 
-180,68, ELEV ,1146,549, ASIA 
-180,68.5, ELEV ,1120,183, ASIA 
-179.5,66, ELEV ,1245,190, ASIA 
-179.5,66.5, ELEV ,1220,437, ASIA 
-179.5,67, ELEV ,1195,362, ASIA 
-179.5,67.5, ELEV ,1171,373, ASIA 
-179.5,68, ELEV ,1146,329, ASIA 
-179.5,68.5, ELEV ,1120,51, ASIA 
-179,66, ELEV ,1245,135, ASIA 
-179,66.5, ELEV ,1220,403, ASIA 
-179,67, ELEV ,1195,240, ASIA 
-179,67.5, ELEV ,1171,284, ASIA 
-179,68, ELEV ,1146,152, ASIA 
-178.5,65.5, ELEV ,1270,132, ASIA 
-178.5,66, ELEV ,1245,149, ASIA 
-178.5,66.5, ELEV ,1220,389, ASIA 
-178.5,67, ELEV ,1195,308, ASIA 
-178.5,67.5, ELEV ,1171,261, ASIA 
-178.5,68, ELEV ,1146,125, ASIA 
-178,65.5, ELEV ,1270,186, ASIA 
-178,66, ELEV ,1245,284, ASIA 
-178,66.5, ELEV ,1220,535, ASIA 
-178,67, ELEV ,1195,240, ASIA 
-178,67.5, ELEV ,1171,152, ASIA 
-178,68, ELEV ,1146,30, ASIA 
-177.5,65.5, ELEV ,1270,301, ASIA 
-177.5,66, ELEV ,1245,339, ASIA 
-177.5,66.5, ELEV ,1220,386, ASIA 
-177.5,67, ELEV ,1195,169, ASIA 
-177.5,67.5, ELEV ,1171,102, ASIA 
-177.5,68, ELEV ,1146,30, ASIA 
-177,65.5, ELEV ,1270,179, ASIA 
-177,66, ELEV ,1245,281, ASIA 
-177,66.5, ELEV ,1220,288, ASIA 
-177,67, ELEV ,1195,125, ASIA 
-177,67.5, ELEV ,1171,78, ASIA 
-176.5,65.5, ELEV ,1270,261, ASIA 
-176.5,66, ELEV ,1245,332, ASIA 
-176.5,66.5, ELEV ,1220,332, ASIA 
-176.5,67, ELEV ,1195,105, ASIA 
-176.5,67.5, ELEV ,1171,44, ASIA 
-176,65, ELEV ,1294,142, ASIA 
-176,65.5, ELEV ,1270,217, ASIA 
-176,66, ELEV ,1245,315, ASIA 
-176,66.5, ELEV ,1220,254, ASIA 
-176,67, ELEV ,1195,112, ASIA 
-176,67.5, ELEV ,1171,24, ASIA 
-175.5,65, ELEV ,1294,271, ASIA 
-175.5,65.5, ELEV ,1270,227, ASIA 
-175.5,66, ELEV ,1245,220, ASIA 
-175.5,66.5, ELEV ,1220,152, ASIA 
-175.5,67, ELEV ,1195,108, ASIA 
-175,65, ELEV ,1294,274, ASIA 
-175,65.5, ELEV ,1270,176, ASIA 
-175,66, ELEV ,1245,210, ASIA 
-175,66.5, ELEV ,1220,34, ASIA 
-174.5,65, ELEV ,1294,339, ASIA 
-174.5,65.5, ELEV ,1270,217, ASIA 
-174.5,66, ELEV ,1245,85, ASIA 
-174,65, ELEV ,1294,234, ASIA 
-174,65.5, ELEV ,1270,156, ASIA 
-174,66, ELEV ,1245,91, ASIA 
-174,66.5, ELEV ,1220,81, ASIA 
-173.5,65, ELEV ,1294,278, ASIA 
-173.5,65.5, ELEV ,1270,190, ASIA 
-173.5,66, ELEV ,1245,349, ASIA 
-173.5,66.5, ELEV ,1220,119, ASIA 
-173,65, ELEV ,1294,190, ASIA 
-173,65.5, ELEV ,1270,132, ASIA 
-173,66, ELEV ,1245,332, ASIA 
-173,66.5, ELEV ,1220,156, ASIA 
-172.5,65, ELEV ,1294,34, ASIA 
-172.5,65.5, ELEV ,1270,224, ASIA 
-172.5,66, ELEV ,1245,457, ASIA 
-172.5,66.5, ELEV ,1220,183, ASIA 
-172,65.5, ELEV ,1270,295, ASIA 
-172,66, ELEV ,1245,268, ASIA 
-172,66.5, ELEV ,1220,203, ASIA 
-171.5,65.5, ELEV ,1270,261, ASIA 
-171.5,66, ELEV ,1245,271, ASIA 
-171,65.5, ELEV ,1270,152, ASIA 
-171,66, ELEV ,1245,257, ASIA 
-170.5,66, ELEV ,1245,24, ASIA 
-168,65.5, ELEV ,1270,41, NAMERICA 
