-180,65, TEXTURE ,1294,45,40,15,2, FAO , ASIA 
-180,65.5, TEXTURE ,1270,45,40,15,2, FAO , ASIA 
-180,66, TEXTURE ,1245,45,40,15,0, FAO , ASIA 
-180,66.5, TEXTURE ,1220,45,40,15,0, FAO , ASIA 
-180,67, TEXTURE ,1195,45,40,15,0, FAO , ASIA 
-180,67.5, TEXTURE ,1171,45,40,15,2, FAO , ASIA 
-180,68, TEXTURE ,1146,45,40,15,0, FAO , ASIA 
-180,68.5, TEXTURE ,1120,45,40,15,2, FAO , ASIA 
-179.5,66, TEXTURE ,1245,45,40,15,0, FAO , ASIA 
-179.5,66.5, TEXTURE ,1220,45,40,15,0, FAO , ASIA 
-179.5,67, TEXTURE ,1195,45,40,15,2, FAO , ASIA 
-179.5,67.5, TEXTURE ,1171,45,40,15,0, FAO , ASIA 
-179.5,68, TEXTURE ,1146,45,40,15,0, FAO , ASIA 
-179.5,68.5, TEXTURE ,1120,45,40,15,2, FAO , ASIA 
-179,66, TEXTURE ,1245,45,40,15,0, FAO , ASIA 
-179,66.5, TEXTURE ,1220,45,40,15,0, FAO , ASIA 
-179,67, TEXTURE ,1195,45,40,15,2, FAO , ASIA 
-179,67.5, TEXTURE ,1171,45,40,15,0, FAO , ASIA 
-179,68, TEXTURE ,1146,45,40,15,2, FAO , ASIA 
-178.5,65.5, TEXTURE ,1270,45,40,15,1, FAO , ASIA 
-178.5,66, TEXTURE ,1245,45,40,15,2, FAO , ASIA 
-178.5,66.5, TEXTURE ,1220,45,40,15,0, FAO , ASIA 
-178.5,67, TEXTURE ,1195,45,40,15,0, FAO , ASIA 
-178.5,67.5, TEXTURE ,1171,45,40,15,0, FAO , ASIA 
-178.5,68, TEXTURE ,1146,45,40,15,2, FAO , ASIA 
-178,65.5, TEXTURE ,1270,45,40,15,1, FAO , ASIA 
-178,66, TEXTURE ,1245,45,40,15,0, FAO , ASIA 
-178,66.5, TEXTURE ,1220,45,40,15,0, FAO , ASIA 
-178,67, TEXTURE ,1195,45,40,15,0, FAO , ASIA 
-178,67.5, TEXTURE ,1171,45,40,15,2, FAO , ASIA 
-178,68, TEXTURE ,1146,45,40,15,2, FAO , ASIA 
-177.5,65.5, TEXTURE ,1270,45,40,15,2, FAO , ASIA 
-177.5,66, TEXTURE ,1245,45,40,15,0, FAO , ASIA 
-177.5,66.5, TEXTURE ,1220,45,40,15,0, FAO , ASIA 
-177.5,67, TEXTURE ,1195,45,40,15,2, FAO , ASIA 
-177.5,67.5, TEXTURE ,1171,45,40,15,2, FAO , ASIA 
-177.5,68, TEXTURE ,1146,45,40,15,2, FAO , ASIA 
-177,65.5, TEXTURE ,1270,45,40,15,0, FAO , ASIA 
-177,66, TEXTURE ,1245,45,40,15,2, FAO , ASIA 
-177,66.5, TEXTURE ,1220,45,40,15,2, FAO , ASIA 
-177,67, TEXTURE ,1195,45,40,15,2, FAO , ASIA 
-177,67.5, TEXTURE ,1171,45,40,15,2, FAO , ASIA 
-176.5,65.5, TEXTURE ,1270,45,40,15,2, FAO , ASIA 
-176.5,66, TEXTURE ,1245,45,40,15,0, FAO , ASIA 
-176.5,66.5, TEXTURE ,1220,45,40,15,0, FAO , ASIA 
-176.5,67, TEXTURE ,1195,45,40,15,2, FAO , ASIA 
-176.5,67.5, TEXTURE ,1171,45,40,15,1, FAO , ASIA 
-176,65, TEXTURE ,1294,45,40,15,2, FAO , ASIA 
-176,65.5, TEXTURE ,1270,45,40,15,2, FAO , ASIA 
-176,66, TEXTURE ,1245,45,40,15,0, FAO , ASIA 
-176,66.5, TEXTURE ,1220,45,40,15,2, FAO , ASIA 
-176,67, TEXTURE ,1195,45,40,15,2, FAO , ASIA 
-176,67.5, TEXTURE ,1171,45,40,15,7, FAO , ASIA 
-175.5,65, TEXTURE ,1294,45,40,15,0, FAO , ASIA 
-175.5,65.5, TEXTURE ,1270,45,40,15,0, FAO , ASIA 
-175.5,66, TEXTURE ,1245,45,40,15,2, FAO , ASIA 
-175.5,66.5, TEXTURE ,1220,45,40,15,2, FAO , ASIA 
-175.5,67, TEXTURE ,1195,45,40,15,7, FAO , ASIA 
-175,65, TEXTURE ,1294,45,40,15,0, FAO , ASIA 
-175,65.5, TEXTURE ,1270,45,40,15,0, FAO , ASIA 
-175,66, TEXTURE ,1245,45,40,15,2, FAO , ASIA 
-175,66.5, TEXTURE ,1220,45,40,15,1, FAO , ASIA 
-174.5,65, TEXTURE ,1294,45,40,15,0, FAO , ASIA 
-174.5,65.5, TEXTURE ,1270,45,40,15,2, FAO , ASIA 
-174.5,66, TEXTURE ,1245,45,40,15,2, FAO , ASIA 
-174,65, TEXTURE ,1294,45,40,15,0, FAO , ASIA 
-174,65.5, TEXTURE ,1270,45,40,15,2, FAO , ASIA 
-174,66, TEXTURE ,1245,45,40,15,2, FAO , ASIA 
-174,66.5, TEXTURE ,1220,45,40,15,2, FAO , ASIA 
-173.5,65, TEXTURE ,1294,45,40,15,0, FAO , ASIA 
-173.5,65.5, TEXTURE ,1270,45,40,15,2, FAO , ASIA 
-173.5,66, TEXTURE ,1245,45,40,15,2, FAO , ASIA 
-173.5,66.5, TEXTURE ,1220,45,40,15,2, FAO , ASIA 
-173,65, TEXTURE ,1294,45,40,15,2, FAO , ASIA 
-173,65.5, TEXTURE ,1270,45,40,15,2, FAO , ASIA 
-173,66, TEXTURE ,1245,45,40,15,2, FAO , ASIA 
-173,66.5, TEXTURE ,1220,45,40,15,2, FAO , ASIA 
-172.5,65, TEXTURE ,1294,45,40,15,2, FAO , ASIA 
-172.5,65.5, TEXTURE ,1270,45,40,15,0, FAO , ASIA 
-172.5,66, TEXTURE ,1245,45,40,15,0, FAO , ASIA 
-172.5,66.5, TEXTURE ,1220,45,40,15,2, FAO , ASIA 
-172,65.5, TEXTURE ,1270,45,40,15,0, FAO , ASIA 
-172,66, TEXTURE ,1245,45,40,15,0, FAO , ASIA 
-172,66.5, TEXTURE ,1220,45,40,15,2, FAO , ASIA 
-171.5,65.5, TEXTURE ,1270,45,40,15,2, FAO , ASIA 
-171.5,66, TEXTURE ,1245,45,40,15,2, FAO , ASIA 
-171,65.5, TEXTURE ,1270,45,40,15,2, FAO , ASIA 
-171,66, TEXTURE ,1245,45,40,15,2, FAO , ASIA 
-170.5,66, TEXTURE ,1245,45,40,15,7, FAO , ASIA 
-168,65.5, TEXTURE ,1270,45,40,15,2, FAO , NAMERICA 
-167.5,65.5, TEXTURE ,1270,45,40,15,2, FAO , NAMERICA 
-167,65, TEXTURE ,1294,45,40,15,2, FAO , NAMERICA 
-167,65.5, TEXTURE ,1270,45,40,15,2, FAO , NAMERICA 
-166.5,65, TEXTURE ,1294,45,40,15,2, FAO , NAMERICA 
-166.5,65.5, TEXTURE ,1270,45,40,15,2, FAO , NAMERICA 
-166,65, TEXTURE ,1294,45,40,15,2, FAO , NAMERICA 
-166,65.5, TEXTURE ,1270,45,40,15,2, FAO , NAMERICA 
-166,66, TEXTURE ,1245,65,20,15,2, FAO , NAMERICA 
-166,68, TEXTURE ,1146,45,40,15,2, FAO , NAMERICA 
-166,68.5, TEXTURE ,1120,45,40,15,2, FAO , NAMERICA 
-165.5,65, TEXTURE ,1294,45,40,15,2, FAO , NAMERICA 
-165.5,65.5, TEXTURE ,1270,45,40,15,2, FAO , NAMERICA 
-165.5,66, TEXTURE ,1245,45,40,15,2, FAO , NAMERICA 
-165.5,68, TEXTURE ,1146,45,40,15,2, FAO , NAMERICA 
-165.5,68.5, TEXTURE ,1120,45,40,15,2, FAO , NAMERICA 
-165,65, TEXTURE ,1294,45,40,15,2, FAO , NAMERICA 
-165,65.5, TEXTURE ,1270,45,40,15,2, FAO , NAMERICA 
-165,66, TEXTURE ,1245,45,40,15,2, FAO , NAMERICA 
-165,67.5, TEXTURE ,1171,45,40,15,2, FAO , NAMERICA 
-165,68, TEXTURE ,1146,45,40,15,2, FAO , NAMERICA 
-165,68.5, TEXTURE ,1120,45,40,15,2, FAO , NAMERICA 
-164.5,65, TEXTURE ,1294,45,40,15,2, FAO , NAMERICA 
-164.5,65.5, TEXTURE ,1270,45,40,15,2, FAO , NAMERICA 
-164.5,66, TEXTURE ,1245,45,40,15,2, FAO , NAMERICA 
-164.5,67.5, TEXTURE ,1171,45,40,15,2, FAO , NAMERICA 
-164.5,68, TEXTURE ,1146,45,40,15,2, FAO , NAMERICA 
-164.5,68.5, TEXTURE ,1120,45,40,15,2, FAO , NAMERICA 
-164,65, TEXTURE ,1294,80,10,10,0, FAO , NAMERICA 
-164,65.5, TEXTURE ,1270,45,40,15,2, FAO , NAMERICA 
-164,67, TEXTURE ,1195,45,40,15,2, FAO , NAMERICA 
-164,67.5, TEXTURE ,1171,45,40,15,2, FAO , NAMERICA 
-164,68, TEXTURE ,1146,45,40,15,2, FAO , NAMERICA 
-164,68.5, TEXTURE ,1120,45,40,15,2, FAO , NAMERICA 
-163.5,65, TEXTURE ,1294,80,10,10,0, FAO , NAMERICA 
-163.5,65.5, TEXTURE ,1270,45,40,15,2, FAO , NAMERICA 
-163.5,67, TEXTURE ,1195,45,40,15,2, FAO , NAMERICA 
-163.5,67.5, TEXTURE ,1171,45,40,15,2, FAO , NAMERICA 
-163.5,68, TEXTURE ,1146,80,10,10,0, FAO , NAMERICA 
-163.5,68.5, TEXTURE ,1120,45,40,15,2, FAO , NAMERICA 
