-180,65, TEMVEG ,-111,3, BELOV , ASIA 
-180,65.5, TEMVEG ,-111,3, BELOV , ASIA 
-180,66, TEMVEG ,-111,2, BELOV , ASIA 
-180,66.5, TEMVEG ,-111,2, BELOV , ASIA 
-180,67, TEMVEG ,-111,2, BELOV , ASIA 
-180,67.5, TEMVEG ,-111,2, BELOV , ASIA 
-180,68, TEMVEG ,-111,2, BELOV , ASIA 
-180,68.5, TEMVEG ,-111,2, BELOV , ASIA 
-179.5,66, TEMVEG ,-111,3, BELOV , ASIA 
-179.5,66.5, TEMVEG ,-111,2, BELOV , ASIA 
-179.5,67, TEMVEG ,-111,2, BELOV , ASIA 
-179.5,67.5, TEMVEG ,-111,2, BELOV , ASIA 
-179.5,68, TEMVEG ,-111,2, BELOV , ASIA 
-179.5,68.5, TEMVEG ,-111,3, BELOV , ASIA 
-179,66, TEMVEG ,-111,3, BELOV , ASIA 
-179,66.5, TEMVEG ,-111,2, BELOV , ASIA 
-179,67, TEMVEG ,-111,3, BELOV , ASIA 
-179,67.5, TEMVEG ,-111,2, BELOV , ASIA 
-179,68, TEMVEG ,-111,2, BELOV , ASIA 
-178.5,65.5, TEMVEG ,-111,3, BELOV , ASIA 
-178.5,66, TEMVEG ,-111,3, BELOV , ASIA 
-178.5,66.5, TEMVEG ,-111,2, BELOV , ASIA 
-178.5,67, TEMVEG ,-111,2, BELOV , ASIA 
-178.5,67.5, TEMVEG ,-111,2, BELOV , ASIA 
-178.5,68, TEMVEG ,-111,3, BELOV , ASIA 
-178,65.5, TEMVEG ,-111,3, BELOV , ASIA 
-178,66, TEMVEG ,-111,2, BELOV , ASIA 
-178,66.5, TEMVEG ,-111,2, BELOV , ASIA 
-178,67, TEMVEG ,-111,2, BELOV , ASIA 
-178,67.5, TEMVEG ,-111,3, BELOV , ASIA 
-178,68, TEMVEG ,-111,3, BELOV , ASIA 
-177.5,65.5, TEMVEG ,-111,2, BELOV , ASIA 
-177.5,66, TEMVEG ,-111,2, BELOV , ASIA 
-177.5,66.5, TEMVEG ,-111,2, BELOV , ASIA 
-177.5,67, TEMVEG ,-111,2, BELOV , ASIA 
-177.5,67.5, TEMVEG ,-111,3, BELOV , ASIA 
-177.5,68, TEMVEG ,-111,3, MBL/CL , ASIA 
-177,65.5, TEMVEG ,-111,3, BELOV , ASIA 
-177,66, TEMVEG ,-111,2, BELOV , ASIA 
-177,66.5, TEMVEG ,-111,2, BELOV , ASIA 
-177,67, TEMVEG ,-111,3, BELOV , ASIA 
-177,67.5, TEMVEG ,-111,3, BELOV , ASIA 
-176.5,65.5, TEMVEG ,-111,2, BELOV , ASIA 
-176.5,66, TEMVEG ,-111,2, BELOV , ASIA 
-176.5,66.5, TEMVEG ,-111,2, BELOV , ASIA 
-176.5,67, TEMVEG ,-111,3, BELOV , ASIA 
-176.5,67.5, TEMVEG ,-111,3, BELOV , ASIA 
-176,65, TEMVEG ,-111,3, BELOV , ASIA 
-176,65.5, TEMVEG ,-111,2, BELOV , ASIA 
-176,66, TEMVEG ,-111,2, BELOV , ASIA 
-176,66.5, TEMVEG ,-111,2, BELOV , ASIA 
-176,67, TEMVEG ,-111,3, BELOV , ASIA 
-176,67.5, TEMVEG ,-111,7, BELOV , ASIA 
-175.5,65, TEMVEG ,-111,2, BELOV , ASIA 
-175.5,65.5, TEMVEG ,-111,2, BELOV , ASIA 
-175.5,66, TEMVEG ,-111,2, BELOV , ASIA 
-175.5,66.5, TEMVEG ,-111,2, MBL/CL , ASIA 
-175.5,67, TEMVEG ,-111,7, BELOV , ASIA 
-175,65, TEMVEG ,-111,2, BELOV , ASIA 
-175,65.5, TEMVEG ,-111,2, BELOV , ASIA 
-175,66, TEMVEG ,-111,2, BELOV , ASIA 
-175,66.5, TEMVEG ,-111,3, BELOV , ASIA 
-174.5,65, TEMVEG ,-111,2, BELOV , ASIA 
-174.5,65.5, TEMVEG ,-111,2, BELOV , ASIA 
-174.5,66, TEMVEG ,-111,2, BELOV , ASIA 
-174,65, TEMVEG ,-111,3, BELOV , ASIA 
-174,65.5, TEMVEG ,-111,3, BELOV , ASIA 
-174,66, TEMVEG ,-111,3, BELOV , ASIA 
-174,66.5, TEMVEG ,-111,3, BELOV , ASIA 
-173.5,65, TEMVEG ,-111,2, BELOV , ASIA 
-173.5,65.5, TEMVEG ,-111,3, BELOV , ASIA 
-173.5,66, TEMVEG ,-111,3, BELOV , ASIA 
-173.5,66.5, TEMVEG ,-111,3, BELOV , ASIA 
-173,65, TEMVEG ,-111,3, BELOV , ASIA 
