-180,65, DENSITY ,1294,1.28, ASIA
-180,65.5, DENSITY ,1270,1.28, ASIA
-180,66, DENSITY ,1245,1.4400001, ASIA
-180,66.5, DENSITY ,1220,1.4400001, ASIA
-180,67, DENSITY ,1195,1.4400001, ASIA
-180,67.5, DENSITY ,1171,1.4400001, ASIA
-180,68, DENSITY ,1146,1.28, ASIA
-180,68.5, DENSITY ,1120,1.4400001, ASIA
-179.5,66, DENSITY ,1245,1.4400001, ASIA
-179.5,66.5, DENSITY ,1220,1.4400001, ASIA
-179.5,67, DENSITY ,1195,1.4400001, ASIA
-179.5,67.5, DENSITY ,1171,1.4400001, ASIA
-179.5,68, DENSITY ,1146,1.28, ASIA
-179.5,68.5, DENSITY ,1120,1.4400001, ASIA
-179,66, DENSITY ,1245,1.4400001, ASIA
-179,66.5, DENSITY ,1220,1.4400001, ASIA
-179,67, DENSITY ,1195,1.28, ASIA
-179,67.5, DENSITY ,1171,1.28, ASIA
-179,68, DENSITY ,1146,1.4400001, ASIA
-178.5,65.5, DENSITY ,1270,1.44, ASIA
-178.5,66, DENSITY ,1245,1.4400001, ASIA
-178.5,66.5, DENSITY ,1220,1.4400001, ASIA
-178.5,67, DENSITY ,1195,1.28, ASIA
-178.5,67.5, DENSITY ,1171,1.28, ASIA
-178.5,68, DENSITY ,1146,1.28, ASIA
-178,65.5, DENSITY ,1270,1.44, ASIA
-178,66, DENSITY ,1245,1.4400001, ASIA
-178,66.5, DENSITY ,1220,1.4400001, ASIA
-178,67, DENSITY ,1195,1.28, ASIA
-178,67.5, DENSITY ,1171,1.28, ASIA
-178,68, DENSITY ,1146,1.28, ASIA
-177.5,65.5, DENSITY ,1270,1.28, ASIA
-177.5,66, DENSITY ,1245,1.28, ASIA
-177.5,66.5, DENSITY ,1220,1.28, ASIA
-177.5,67, DENSITY ,1195,1.28, ASIA
-177.5,67.5, DENSITY ,1171,1.28, ASIA
-177.5,68, DENSITY ,1146,1.28, ASIA
-177,65.5, DENSITY ,1270,1.28, ASIA
-177,66, DENSITY ,1245,1.28, ASIA
-177,66.5, DENSITY ,1220,1.28, ASIA
-177,67, DENSITY ,1195,1.28, ASIA
-177,67.5, DENSITY ,1171,1.28, ASIA
-176.5,65.5, DENSITY ,1270,1.44, ASIA
-176.5,66, DENSITY ,1245,1.4400001, ASIA
-176.5,66.5, DENSITY ,1220,1.4400001, ASIA
-176.5,67, DENSITY ,1195,1.28, ASIA
-176.5,67.5, DENSITY ,1171,1.28, ASIA
-176,65, DENSITY ,1294,1.35, ASIA
-176,65.5, DENSITY ,1270,1.35, ASIA
-176,66, DENSITY ,1245,1.4400001, ASIA
-176,66.5, DENSITY ,1220,1.4400001, ASIA
-176,67, DENSITY ,1195,1.28, ASIA
-176,67.5, DENSITY ,1171,1.28, ASIA
-175.5,65, DENSITY ,1294,1.35, ASIA
-175.5,65.5, DENSITY ,1270,1.4400001, ASIA
-175.5,66, DENSITY ,1245,1.28, ASIA
-175.5,66.5, DENSITY ,1220,1.28, ASIA
-175.5,67, DENSITY ,1195,0.5, ASIA
-175,65, DENSITY ,1294,1.4400001, ASIA
-175,65.5, DENSITY ,1270,1.28, ASIA
-175,66, DENSITY ,1245,1.28, ASIA
-175,66.5, DENSITY ,1220,1.28, ASIA
-174.5,65, DENSITY ,1294,1.4400001, ASIA
-174.5,65.5, DENSITY ,1270,1.28, ASIA
-174.5,66, DENSITY ,1245,1.28, ASIA
-174,65, DENSITY ,1294,1.4400001, ASIA
-174,65.5, DENSITY ,1270,1.4400001, ASIA
-174,66, DENSITY ,1245,1.28, ASIA
-174,66.5, DENSITY ,1220,1.28, ASIA
-173.5,65, DENSITY ,1294,1.4400001, ASIA
-173.5,65.5, DENSITY ,1270,1.4400001, ASIA
-173.5,66, DENSITY ,1245,1.28, ASIA
-173.5,66.5, DENSITY ,1220,1.28, ASIA
-173,65, DENSITY ,1294,1.35, ASIA
-173,65.5, DENSITY ,1270,1.28, ASIA
-173,66, DENSITY ,1245,1.28, ASIA
-173,66.5, DENSITY ,1220,1.28, ASIA
-172.5,65, DENSITY ,1294,1.35, ASIA
-172.5,65.5, DENSITY ,1270,1.28, ASIA
-172.5,66, DENSITY ,1245,1.28, ASIA
-172.5,66.5, DENSITY ,1220,1.28, ASIA
-172,65.5, DENSITY ,1270,1.28, ASIA
-172,66, DENSITY ,1245,1.28, ASIA
-172,66.5, DENSITY ,1220,1.28, ASIA
-171.5,65.5, DENSITY ,1270,1.38, ASIA
-171.5,66, DENSITY ,1245,1.38, ASIA
-171,65.5, DENSITY ,1270,1.38, ASIA
-171,66, DENSITY ,1245,1.38, ASIA
-170.5,66, DENSITY ,1245,1.28, ASIA
-168,65.5, DENSITY ,1270,1.48, NAMERICA
-167.5,65.5, DENSITY ,1270,1.48, NAMERICA
-167,65, DENSITY ,1294,1.25, NAMERICA
-167,65.5, DENSITY ,1270,1.25, NAMERICA
-166.5,65, DENSITY ,1294,1.25, NAMERICA
-166.5,65.5, DENSITY ,1270,1.25, NAMERICA
-166,65, DENSITY ,1294,1.47, NAMERICA
-166,65.5, DENSITY ,1270,1.13, NAMERICA
-166,66, DENSITY ,1245,1.37, NAMERICA
-166,68, DENSITY ,1146,1.17, NAMERICA
-166,68.5, DENSITY ,1120,1.17, NAMERICA
-165.5,65, DENSITY ,1294,1.47, NAMERICA
-165.5,65.5, DENSITY ,1270,1.13, NAMERICA
-165.5,66, DENSITY ,1245,1.37, NAMERICA
-165.5,68, DENSITY ,1146,1.17, NAMERICA
-165.5,68.5, DENSITY ,1120,1.17, NAMERICA
-165,65, DENSITY ,1294,1.13, NAMERICA
-165,65.5, DENSITY ,1270,1.13, NAMERICA
-165,66, DENSITY ,1245,1.37, NAMERICA
-165,67.5, DENSITY ,1171,1.21, NAMERICA
-165,68, DENSITY ,1146,1.21, NAMERICA
-165,68.5, DENSITY ,1120,1.17, NAMERICA
-164.5,65, DENSITY ,1294,1.13, NAMERICA
-164.5,65.5, DENSITY ,1270,1.47, NAMERICA
-164.5,66, DENSITY ,1245,1.17, NAMERICA
-164.5,67.5, DENSITY ,1171,1.17, NAMERICA
-164.5,68, DENSITY ,1146,1.17, NAMERICA
-164.5,68.5, DENSITY ,1120,1.17, NAMERICA
-164,65, DENSITY ,1294,1.13, NAMERICA
-164,65.5, DENSITY ,1270,1.47, NAMERICA
-164,67, DENSITY ,1195,1.17, NAMERICA
-164,67.5, DENSITY ,1171,1.17, NAMERICA
-164,68, DENSITY ,1146,1.17, NAMERICA
-164,68.5, DENSITY ,1120,1.17, NAMERICA
-163.5,65, DENSITY ,1294,1.13, NAMERICA
-163.5,65.5, DENSITY ,1270,1.47, NAMERICA
-163.5,67, DENSITY ,1195,1.17, NAMERICA
-163.5,67.5, DENSITY ,1171,1.17, NAMERICA
-163.5,68, DENSITY ,1146,1.17, NAMERICA
-163.5,68.5, DENSITY ,1120,1.47, NAMERICA
-163.5,69, DENSITY ,1095,1.17, NAMERICA
-163,65, DENSITY ,1294,1.13, NAMERICA
-163,65.5, DENSITY ,1270,1.47, NAMERICA
-163,67, DENSITY ,1195,1.17, NAMERICA
-163,67.5, DENSITY ,1171,1.17, NAMERICA
-163,68, DENSITY ,1146,1.17, NAMERICA
-163,68.5, DENSITY ,1120,1.47, NAMERICA
-163,69, DENSITY ,1095,1.17, NAMERICA
-163,69.5, DENSITY ,1070,1.17, NAMERICA
-162.5,65, DENSITY ,1294,1.13, NAMERICA
-162.5,65.5, DENSITY ,1270,1.13, NAMERICA
-162.5,67, DENSITY ,1195,1.17, NAMERICA
-162.5,67.5, DENSITY ,1171,1.17, NAMERICA
-162.5,68, DENSITY ,1146,1.47, NAMERICA
