-180,65, phh2o ,1294,6.76166, ASIA
-180,65.5, phh2o ,1270,6.62446, ASIA
-180,66, phh2o ,1245,6.64773, ASIA
-180,66.5, phh2o ,1220,6.6393, ASIA
-180,67, phh2o ,1195,6.67305, ASIA
-180,67.5, phh2o ,1171,6.64773, ASIA
-180,68, phh2o ,1146,6.73999, ASIA
-180,68.5, phh2o ,1120,6.76796, ASIA
-179.5,66, phh2o ,1245,6.64773, ASIA
-179.5,66.5, phh2o ,1220,6.65617, ASIA
-179.5,67, phh2o ,1195,6.66039, ASIA
-179.5,67.5, phh2o ,1171,6.66461, ASIA
-179.5,68, phh2o ,1146,6.76166, ASIA
-179.5,68.5, phh2o ,1120,6.76796, ASIA
-179,66, phh2o ,1245,6.62242, ASIA
-179,66.5, phh2o ,1220,6.75322, ASIA
-179,67, phh2o ,1195,6.66883, ASIA
-179,67.5, phh2o ,1171,6.74056, ASIA
-179,68, phh2o ,1146,6.76166, ASIA
-178.5,65.5, phh2o ,1270,6.41596, ASIA
-178.5,66, phh2o ,1245,6.6182, ASIA
-178.5,66.5, phh2o ,1220,6.66188, ASIA
-178.5,67, phh2o ,1195,6.69227, ASIA
-178.5,67.5, phh2o ,1171,6.72843, ASIA
-178.5,68, phh2o ,1146,6.76166, ASIA
-178,65.5, phh2o ,1270,6.63508, ASIA
-178,66, phh2o ,1245,6.64352, ASIA
-178,66.5, phh2o ,1220,6.71629, ASIA
-178,67, phh2o ,1195,6.7055, ASIA
-178,67.5, phh2o ,1171,6.75272, ASIA
-178,68, phh2o ,1146,6.76796, ASIA
-177.5,65.5, phh2o ,1270,6.6393, ASIA
-177.5,66, phh2o ,1245,6.68149, ASIA
-177.5,66.5, phh2o ,1220,6.749, ASIA
-177.5,67, phh2o ,1195,6.61263, ASIA
-177.5,67.5, phh2o ,1171,6.41316, ASIA
-177.5,68, phh2o ,1146,6.76796, ASIA
-177,65.5, phh2o ,1270,6.74056, ASIA
-177,66, phh2o ,1245,6.68993, ASIA
-177,66.5, phh2o ,1220,6.76166, ASIA
-177,67, phh2o ,1195,6.12462, ASIA
-177,67.5, phh2o ,1171,5.6, ASIA
-176.5,65.5, phh2o ,1270,6.62664, ASIA
-176.5,66, phh2o ,1245,6.65617, ASIA
-176.5,66.5, phh2o ,1220,6.66485, ASIA
-176.5,67, phh2o ,1195,5.6, ASIA
-176.5,67.5, phh2o ,1171,6.60976, ASIA
-176,65, phh2o ,1294,6.73634, ASIA
-176,65.5, phh2o ,1270,6.64773, ASIA
-176,66, phh2o ,1245,6.68149, ASIA
-176,66.5, phh2o ,1220,6.297, ASIA
-176,67, phh2o ,1195,5.6, ASIA
-176,67.5, phh2o ,1171,6.58617, ASIA
